MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Katsugeki/Touken Ranbu,(2017),animation action adventure,6.4,"A sage travels to the past and collects a set of legendary swords, which he brings to life as a gang of talented but dysfunctional young men, to fight a battle against evil.","Stars: Robbie Daymond, Zach Aguilar, Brad Venable, Ben Diskin",60,23,0.0,2017,,Robbie Daymond Zach Aguilar Brad Venable Ben Diskin,"katsugeki/touken ranbu animation action adventure a sage travels to the past and collects a set of legendary swords, which he brings to life as a gang of talented but dysfunctional young men, to fight a battle against evil. robbie daymond zach aguilar brad venable ben diskin"
Para Sempre Chape,(2018),documentary,7.2,"FOREVER CHAPE tells the story of the soccer team Chapecoense, from Santa Catarina, Brazil. A club with an incredible spirit that didn't stop and in honor of the victims and the survivors of the tragedy, the club today looks reborn.",Director: Luis Ara,298,80,0.0,2018,,,"para sempre chape documentary forever chape tells the story of the soccer team chapecoense, from santa catarina, brazil. a club with an incredible spirit that didn't stop and in honor of the victims and the survivors of the tragedy, the club today looks reborn."
7 Chinese Brothers,(2015),comedy,5.6,"Sharing a small apartment with his sleepy French bulldog, an unmotivated thirty-something slacker lands a job at a Quick Lube to be close to the shop's beautiful manager. Has he found a new purpose in life? Is there still hope?","Director: Bob Byington | Stars: Jason Schwartzman, Olympia Dukakis, Tunde Adebimpe, Eleanore Pienta",1490,76,0.0,2015,Bob Byington,Jason Schwartzman Olympia Dukakis Tunde Adebimpe Eleanore Pienta,"7 chinese brothers comedy sharing a small apartment with his sleepy french bulldog, an unmotivated thirty-something slacker lands a job at a quick lube to be close to the shop's beautiful manager. has he found a new purpose in life? is there still hope? bob byington jason schwartzman olympia dukakis tunde adebimpe eleanore pienta"
Blackout,(2013 TV Movie),drama,6.5,There is a Power Cut in the UK for a week and this is a Docu-Drama about that.,"Director: Ben Chanan | Stars: Jemima Abey, Maisie Abraham, Komal Amin, Faraz Ayub",230,90,0.0,2013,Ben Chanan,Jemima Abey Maisie Abraham Komal Amin Faraz Ayub,blackout drama there is a power cut in the uk for a week and this is a docu-drama about that. ben chanan jemima abey maisie abraham komal amin faraz ayub
Exatlon Challenge,(2020– ),game-show reality-tv sport,3.8,Orkun Isitmak hosts an epic sports challenge pitting Turkey's influencers against each other. Who will party - and who will be punished?,"Stars: Dilan Ay, Dilara Aydin, Uras Benlioglu, Öykü Berkan",505,46,0.0,2020,,Dilan Ay Dilara Aydin Uras Benlioglu Öykü Berkan,exatlon challenge game-show reality-tv sport orkun isitmak hosts an epic sports challenge pitting turkey's influencers against each other. who will party - and who will be punished? dilan ay dilara aydin uras benlioglu öykü berkan
Anelka: Misunderstood,(2020),documentary sport,6.4,"Bad boy of the French football, arrogant, precocious, misunderstood, scorer, unclassifiable, genius, unmanageable. Despite a having a career of almost 20 years at the highest level, Nicolas Anelka is still hard to define.","Director: Franck Nataf | Stars: Roman Abramovich, Fabrice Abriel, Samir Amireche, Barbara Anelka",2822,94,0.0,2020,Franck Nataf,Roman Abramovich Fabrice Abriel Samir Amireche Barbara Anelka,"anelka: misunderstood documentary sport bad boy of the french football, arrogant, precocious, misunderstood, scorer, unclassifiable, genius, unmanageable. despite a having a career of almost 20 years at the highest level, nicolas anelka is still hard to define. franck nataf roman abramovich fabrice abriel samir amireche barbara anelka"
Chef's Table: France,(2016– ),documentary,8.3,"Chef's Table, French edition, goes inside the lives and kitchens of some of the world's most renowned French chefs. Each episode focuses on a single chef and their unique look at their ... See full summary »","Stars: Alexandre Couillon, Alain Passard",1637,46,0.0,2016,,Alexandre Couillon Alain Passard,"chef's table: france documentary chef's table, french edition, goes inside the lives and kitchens of some of the world's most renowned french chefs. each episode focuses on a single chef and their unique look at their ... see full summary » alexandre couillon alain passard"
Daughters of Destiny,(2017– ),documentary,8.6,Oscar-winning filmmaker Vanessa Roth follows a group of rural India's most disadvantaged children over the course of seven years.,"Stars: Shilpa Anthony Raj, Abraham George, Ajit George, Mariam George",822,60,0.0,2017,,Shilpa Anthony Raj Abraham George Ajit George Mariam George,daughters of destiny documentary oscar-winning filmmaker vanessa roth follows a group of rural india's most disadvantaged children over the course of seven years. shilpa anthony raj abraham george ajit george mariam george
CAT. 8,(2013– ),action adventure drama,4.4,"An untested global defence system triggers a swarm of devastating solar flares, resulting in catastrophic earthquakes and ferocious magnetic storms; an unprecedented CAT. 8 Armageddon. Can we stop the annihilation of the human race?","Stars: Matthew Modine, Maxim Roy, Ted Whittall, Trevor Hayes",1220,180,0.0,2013,,Matthew Modine Maxim Roy Ted Whittall Trevor Hayes,"cat. 8 action adventure drama an untested global defence system triggers a swarm of devastating solar flares, resulting in catastrophic earthquakes and ferocious magnetic storms; an unprecedented cat. 8 armageddon. can we stop the annihilation of the human race? matthew modine maxim roy ted whittall trevor hayes"
La Línea: La Sombra del Narco,(2020),documentary crime,6.4,"Go inside La Línea, the Spanish beach town turned into Europe's drug trafficking hub, and meet the law enforcement officials determined to change that.",Star: Juan Franco,340,0,0.0,2020,,Juan Franco,"la línea: la sombra del narco documentary crime go inside la línea, the spanish beach town turned into europe's drug trafficking hub, and meet the law enforcement officials determined to change that. juan franco"
Feminists: What Were They Thinking?,(2018),documentary,7.0,Feminists: What Were They Thinking? takes aim at our current culture revealing all too vividly the urgent need for continued change.,"Director: Johanna Demetrakas | Stars: Bella Abzug, Laurie Anderson, Phyllis Chesler, Judy Chicago",1990,86,0.0,2018,Johanna Demetrakas,Bella Abzug Laurie Anderson Phyllis Chesler Judy Chicago,feminists: what were they thinking? documentary feminists: what were they thinking? takes aim at our current culture revealing all too vividly the urgent need for continued change. johanna demetrakas bella abzug laurie anderson phyllis chesler judy chicago
Secretul fericirii,(2018),comedy drama,7.7,"For two friends there is only one secret to happiness, that is easy to understand, but, perhaps, difficult to accept.","Director: Vlad Zamfirescu | Stars: Theo Marton, Irina Velcescu, Vlad Zamfirescu",754,90,0.0,2018,Vlad Zamfirescu,Theo Marton Irina Velcescu Vlad Zamfirescu,"secretul fericirii comedy drama for two friends there is only one secret to happiness, that is easy to understand, but, perhaps, difficult to accept. vlad zamfirescu theo marton irina velcescu vlad zamfirescu"
Way of the Vampire,(2005),action horror thriller,2.0,"After defeating Dracula, Van Helsing is granted immortality by the church to pursue and eradicate vampires from the face of the earth. His hunt leads him to a bloody showdown between his slayers and an army of demons.","Directors: Sarah Nean Bruce, Eduardo Durão | Stars: Rhett Giles, Andreas Beckett, Paul Logan, Denise Boutte",1593,82,0.0,2005,"Sarah Nean Bruce, Eduardo Durão",Rhett Giles Andreas Beckett Paul Logan Denise Boutte,"way of the vampire action horror thriller after defeating dracula, van helsing is granted immortality by the church to pursue and eradicate vampires from the face of the earth. his hunt leads him to a bloody showdown between his slayers and an army of demons. sarah nean bruce, eduardo durão rhett giles andreas beckett paul logan denise boutte"
#TemanTapiMenikah,(2018),biography comedy drama,6.9,"Ayudia (Vanesha Prescilla) and Ditto (Adipati Dolken) have been best friends for 12 years. And for all those times, Ditto has been secretly in love with her. Until one day, Ayudia told him that she's gonna get married.","Director: Rako Prijanto | Stars: Adipati Dolken, Vanesha Prescilla, Refal Hady, Denira Wiraguna",602,102,0.0,2018,Rako Prijanto,Adipati Dolken Vanesha Prescilla Refal Hady Denira Wiraguna,"#temantapimenikah biography comedy drama ayudia (vanesha prescilla) and ditto (adipati dolken) have been best friends for 12 years. and for all those times, ditto has been secretly in love with her. until one day, ayudia told him that she's gonna get married. rako prijanto adipati dolken vanesha prescilla refal hady denira wiraguna"
Kaos,,comedy drama fantasy,0.0,A modern day contemporary retelling of Greek mythology.,,0,60,0.0,0,,,kaos comedy drama fantasy a modern day contemporary retelling of greek mythology.
Doonby,(2013),drama mystery,5.1,"Sam Doonby, a no-good drifter, enters a small town in Texas. His sudden arrival is met with suspicion, jealousy, and intrigue. His departure is just as sudden, and then the town realizes how one person's presence can matter.","Director: Peter Mackenzie | Stars: John Schneider, Jenn Gotzon, Ernie Hudson, Robert Davi",497,104,0.0,2013,Peter Mackenzie,John Schneider Jenn Gotzon Ernie Hudson Robert Davi,"doonby drama mystery sam doonby, a no-good drifter, enters a small town in texas. his sudden arrival is met with suspicion, jealousy, and intrigue. his departure is just as sudden, and then the town realizes how one person's presence can matter. peter mackenzie john schneider jenn gotzon ernie hudson robert davi"
Untitled Thai Cave Rescue Project,(I),drama,0.0,A boys soccer team in Thailand becomes trapped in a cave flooded with water and begin to lose hope for survival as a rescue team assembles to save them.,"Directors: Jon M. Chu, Baz Poonpiriya",0,0,0.0,0,,,untitled thai cave rescue project drama a boys soccer team in thailand becomes trapped in a cave flooded with water and begin to lose hope for survival as a rescue team assembles to save them.
Kkotpadang: Joseonhondamgongjakso,(2019),comedy history romance,6.9,"A king makes a request to Joseon's best dating agency ""Flower Crew"" to protect his first love. Upon his request, the matchmakers at the agency risk their own lives to transform the lowly woman Gae Ddong into the most noble woman.","Stars: Min-Jae Kim, Gong Seung-Yeon, Seo Ji-Hoon, Ji-Hoon Park",141,70,0.0,2019,,Min-Jae Kim Gong Seung-Yeon Seo Ji-Hoon Ji-Hoon Park,"kkotpadang: joseonhondamgongjakso comedy history romance a king makes a request to joseon's best dating agency ""flower crew"" to protect his first love. upon his request, the matchmakers at the agency risk their own lives to transform the lowly woman gae ddong into the most noble woman. min-jae kim gong seung-yeon seo ji-hoon ji-hoon park"
Woonppal Romaenseu,(2016),comedy romance,7.1,"A superstitious woman is told, by a fortune teller, that her sister will come out of coma if she spends the night with a man born in 1986. Later, she finds out that her boss, who is an ... See full summary »","Stars: Hwang Jeong-eum, Ryu Jun-Yeol, Sang-Hoon Jung, Ji-min Kim",589,60,0.0,2016,,Hwang Jeong-eum Ryu Jun-Yeol Sang-Hoon Jung Ji-min Kim,"woonppal romaenseu comedy romance a superstitious woman is told, by a fortune teller, that her sister will come out of coma if she spends the night with a man born in 1986. later, she finds out that her boss, who is an ... see full summary » hwang jeong-eum ryu jun-yeol sang-hoon jung ji-min kim"
Love the Way U Lie,(2020),comedy romance,5.8,"With the help of a spunky, lonely-in-love psychic, a deceased wife tries to get her grieving husband to move on. In the process, sparks begin to fly.","Director: RC Delos Reyes | Stars: Xian Lim, Alex Gonzaga, Kylie Verzosa, Jeric Raval",74,99,0.0,2020,RC Delos Reyes,Xian Lim Alex Gonzaga Kylie Verzosa Jeric Raval,"love the way u lie comedy romance with the help of a spunky, lonely-in-love psychic, a deceased wife tries to get her grieving husband to move on. in the process, sparks begin to fly. rc delos reyes xian lim alex gonzaga kylie verzosa jeric raval"
The 43,(2019– ),documentary,7.2,This docuseries disputes the Mexican government's account of how and why 43 students from Ayotzinapa Rural Teachers' College vanished in Iguala in 2014.,Star: Paco Ignacio Taibo II,99,0,0.0,2019,,Paco Ignacio Taibo II,the 43 documentary this docuseries disputes the mexican government's account of how and why 43 students from ayotzinapa rural teachers' college vanished in iguala in 2014. paco ignacio taibo ii
The Standups,(2017– ),comedy,6.7,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.","Stars: Dan Soder, Beth Stelling, Nate Bargatze, Deon Cole",1017,30,0.0,2017,,Dan Soder Beth Stelling Nate Bargatze Deon Cole,"the standups comedy comedy's freshest voices take the stage in la for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions. dan soder beth stelling nate bargatze deon cole"
War Flowers,(2012),drama history war,4.4,"North Carolina 1863, the Civil War is raging. In this inspired story of tragedy and love we follow the lives of Melody, a precocious seven-year old, and her young mother Sarabeth as they struggle on their farm to survive the war.","Director: Serge Rodnunsky | Stars: Christina Ricci, Jason Gedrick, Gabrielle Popa, Tom Berenger",405,99,0.0,2012,Serge Rodnunsky,Christina Ricci Jason Gedrick Gabrielle Popa Tom Berenger,"war flowers drama history war north carolina 1863, the civil war is raging. in this inspired story of tragedy and love we follow the lives of melody, a precocious seven-year old, and her young mother sarabeth as they struggle on their farm to survive the war. serge rodnunsky christina ricci jason gedrick gabrielle popa tom berenger"
Gungmin Yeoreobun,(2019– ),comedy,7.0,"Yang Jung Kook is a veteran conman, but he has never been arrested. One day, his girlfriend suddenly runs off with the money they were going to use for their marriage. Yang Jung Kook is ... See full summary »","Stars: Si Won Choi, Im Ji-Hyun, Min-Jung Kim, Yoo-Young Lee",167,0,0.0,2019,,Si Won Choi Im Ji-Hyun Min-Jung Kim Yoo-Young Lee,"gungmin yeoreobun comedy yang jung kook is a veteran conman, but he has never been arrested. one day, his girlfriend suddenly runs off with the money they were going to use for their marriage. yang jung kook is ... see full summary » si won choi im ji-hyun min-jung kim yoo-young lee"
La femme la plus assassinée du monde,(2018),biography drama mystery,5.3,"Paula Maxa is the Parisian Grand Guignol Theatre's leading lady, famous for being murdered on stage every day. But is there a link between the theatre and a series of gruesome real-life murders?","Director: Franck Ribière | Stars: Eric Godon, Niels Schneider, Anna Mouglalis, Michel Fau",990,102,0.0,2018,Franck Ribière,Eric Godon Niels Schneider Anna Mouglalis Michel Fau,"la femme la plus assassinée du monde biography drama mystery paula maxa is the parisian grand guignol theatre's leading lady, famous for being murdered on stage every day. but is there a link between the theatre and a series of gruesome real-life murders? franck ribière eric godon niels schneider anna mouglalis michel fau"
Rebelión de los Godínez,(2020),comedy,4.1,"Omar Buendía, a super smart guy, who came out with the best average in school and is expected to do great things in life.","Director: Carlos Morett | Stars: Gustavo Egelhaaf, Alejandro Suárez, Bárbara de Regil, Mauricio Argüelles",426,93,0.0,2020,Carlos Morett,Gustavo Egelhaaf Alejandro Suárez Bárbara de Regil Mauricio Argüelles,"rebelión de los godínez comedy omar buendía, a super smart guy, who came out with the best average in school and is expected to do great things in life. carlos morett gustavo egelhaaf alejandro suárez bárbara de regil mauricio argüelles"
Broken,(2019– ),documentary,6.9,"Influencer hype and marketing create conditions where counterfeit makeup thrives, teens become addicted to vaping, disposable furniture kills, and corporations use of single use plastics are the stories told in this 4 part series.","Stars: Jenise Morgan, Bella Carroll, Lexy Lebsack, Janet McGee",959,0,0.0,2019,,Jenise Morgan Bella Carroll Lexy Lebsack Janet McGee,"broken documentary influencer hype and marketing create conditions where counterfeit makeup thrives, teens become addicted to vaping, disposable furniture kills, and corporations use of single use plastics are the stories told in this 4 part series. jenise morgan bella carroll lexy lebsack janet mcgee"
A Martfüi Rém - A Sorozat,(2020– ),crime drama mystery,7.6,"In 1960s socialist Hungary, a serial killer targeting young women torments a small town and the determined detective on his trail. Based on true events.","Stars: Zsolt Anger, Mónika Balsai, Péter Bárnai, Károly Hajduk",222,45,0.0,2020,,Zsolt Anger Mónika Balsai Péter Bárnai Károly Hajduk,"a martfüi rém - a sorozat crime drama mystery in 1960s socialist hungary, a serial killer targeting young women torments a small town and the determined detective on his trail. based on true events. zsolt anger mónika balsai péter bárnai károly hajduk"
#cats_the_mewvie,(2020),documentary,5.3,It's a 2020 documentary about how cats went from cute text memes to iconic celebrities on YouTube.,"Director: Michael Margolis | Stars: Kevin Allocca, Phaedra Barratt, Amanda Brennan, Mike Bridavsky",439,90,0.0,2020,Michael Margolis,Kevin Allocca Phaedra Barratt Amanda Brennan Mike Bridavsky,#cats_the_mewvie documentary it's a 2020 documentary about how cats went from cute text memes to iconic celebrities on youtube. michael margolis kevin allocca phaedra barratt amanda brennan mike bridavsky
Isolated,(I) (2013),adventure drama sport,6.2,"Five world class surfers travel to New Guinea in search of undiscovered waves, but end up discovering so much more.","Director: Justin Le Pera | Stars: Ryan Phillippe, Travis Potter, Jenny Useldinger, Andrew Mooney",189,85,0.0,2013,Justin Le Pera,Ryan Phillippe Travis Potter Jenny Useldinger Andrew Mooney,"isolated adventure drama sport five world class surfers travel to new guinea in search of undiscovered waves, but end up discovering so much more. justin le pera ryan phillippe travis potter jenny useldinger andrew mooney"
Atari: Game Over,(2014),documentary,6.7,"A crew digs up all of the old Atari 2600 game cartridges of ""E.T. the Extra-Terrestrial"" that were tossed into a landfill in the 1980s.","Director: Zak Penn | Stars: Zak Penn, Joe Lewandowski, Robert Rentschler, Paul Sanchez",5762,66,0.0,2014,Zak Penn,Zak Penn Joe Lewandowski Robert Rentschler Paul Sanchez,"atari: game over documentary a crew digs up all of the old atari 2600 game cartridges of ""e.t. the extra-terrestrial"" that were tossed into a landfill in the 1980s. zak penn zak penn joe lewandowski robert rentschler paul sanchez"
What We Started,(2017),documentary,7.1,"DJs, producers, and promoters discuss the history and state of electronic dance music.","Directors: Bert Marcus, Cyrus Saidi | Stars: Steve Angello, Carl Cox, Chip Eberhart, Martin Garrix",1470,94,0.0,2017,"Bert Marcus, Cyrus Saidi",Steve Angello Carl Cox Chip Eberhart Martin Garrix,"what we started documentary djs, producers, and promoters discuss the history and state of electronic dance music. bert marcus, cyrus saidi steve angello carl cox chip eberhart martin garrix"
Bhouri,(2016),drama,6.7,"A tragic love story of Bhouri, a 23-year old who is married to a 55-year old, the film highlights the exploitation of women in male dominated society.","Director: Jasbir Bijender Bhati | Stars: Raghuvir Yadav, Masha Pour, Kunickaa Sadanand, Vicky Ahuja",413,140,0.0,2016,Jasbir Bijender Bhati,Raghuvir Yadav Masha Pour Kunickaa Sadanand Vicky Ahuja,"bhouri drama a tragic love story of bhouri, a 23-year old who is married to a 55-year old, the film highlights the exploitation of women in male dominated society. jasbir bijender bhati raghuvir yadav masha pour kunickaa sadanand vicky ahuja"
Arangsaddojeon,(2012),action comedy fantasy,7.5,"Lee Eun Oh, a noble's son, arrives at a small village in search of his missing mother. There, Arang, the ghost of a young woman that lost her memories of her past life, asks him to help her to figure out her identity and how she died.","Stars: Shin Min-a, Lee Joon-Gi, Woo-jin Yeon, Jeong-su Han",733,0,0.0,2012,,Shin Min-a Lee Joon-Gi Woo-jin Yeon Jeong-su Han,"arangsaddojeon action comedy fantasy lee eun oh, a noble's son, arrives at a small village in search of his missing mother. there, arang, the ghost of a young woman that lost her memories of her past life, asks him to help her to figure out her identity and how she died. shin min-a lee joon-gi woo-jin yeon jeong-su han"
Antologi Rasa,(2019),drama,6.4,"Keara (Carissa Perusset) loves Ruly (Refal Hady), even though she realizes that Ruly loves Denise (Atikah Suhaime). Meanwhile, Harris (Herjunot Ali) also has found his true love in Keara. But for Keara, Harris is just her best friend.","Director: Rizal Mantovani | Stars: Herjunot Ali, Carissa Perusset, Refal Hady, Atikah Suhaime",156,108,0.0,2019,Rizal Mantovani,Herjunot Ali Carissa Perusset Refal Hady Atikah Suhaime,"antologi rasa drama keara (carissa perusset) loves ruly (refal hady), even though she realizes that ruly loves denise (atikah suhaime). meanwhile, harris (herjunot ali) also has found his true love in keara. but for keara, harris is just her best friend. rizal mantovani herjunot ali carissa perusset refal hady atikah suhaime"
League of Legends Origins,(2019),documentary,6.5,"In League of Legends Origins, Academy Award nominated Director, Leslie Iwerks explores the history of the community that has made League of Legends one of the most-played PC game in history... See full summary »","Director: Leslie Iwerks | Stars: Nick Allen, Imane 'Pokimane' Anys, David Banks, Brandon Beck",898,77,0.0,2019,Leslie Iwerks,Nick Allen Imane 'Pokimane' Anys David Banks Brandon Beck,"league of legends origins documentary in league of legends origins, academy award nominated director, leslie iwerks explores the history of the community that has made league of legends one of the most-played pc game in history... see full summary » leslie iwerks nick allen imane 'pokimane' anys david banks brandon beck"
Untitled Gundam Project,,action drama sci-fi,0.0,A war takes place involving giant robotic battle suits.,Director: Jordan Vogt-Roberts,0,0,0.0,0,,,untitled gundam project action drama sci-fi a war takes place involving giant robotic battle suits.
London Hughes: To Catch a Dick,(2020 TV Special),comedy,4.7,London shares her raunchiest sex stories and life experiences.,"Director: Kristian Mercado | Stars: Lin Gallagher, London Hughes, Nick Smoke",278,68,0.0,2020,Kristian Mercado,Lin Gallagher London Hughes Nick Smoke,london hughes: to catch a dick comedy london shares her raunchiest sex stories and life experiences. kristian mercado lin gallagher london hughes nick smoke
Good Times,,animation comedy,0.0,,,0,0,0.0,0,,,good times animation comedy
Greg Davies: You Magnificent Beast,(2018 TV Special),comedy,7.2,"British comedian Greg Davies revisits terrifying dates, manscaping disasters, his father's pranks and more in a savagely funny stand-up special.","Director: Peter Orton | Stars: Greg Davies, The Phoenix Choir of Wales",1959,66,0.0,2018,Peter Orton,Greg Davies The Phoenix Choir of Wales,"greg davies: you magnificent beast comedy british comedian greg davies revisits terrifying dates, manscaping disasters, his father's pranks and more in a savagely funny stand-up special. peter orton greg davies the phoenix choir of wales"
Pet Stars,(2021– ),family reality-tv,5.8,Follow talent management company Pets on Q as they work with the biggest animal influencers on social media in this reality series.,"Stars: Melissa May Curtis, Colleen Wilson, Shai Lighter, Dane Andrew",94,0,0.0,2021,,Melissa May Curtis Colleen Wilson Shai Lighter Dane Andrew,pet stars family reality-tv follow talent management company pets on q as they work with the biggest animal influencers on social media in this reality series. melissa may curtis colleen wilson shai lighter dane andrew
Casi Feliz,(2020– ),comedy,6.8,"Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.","Stars: Sebastián Wainraich, Natalie Pérez, Santiago Korovsky, Lucas Wainraich",626,0,0.0,2020,,Sebastián Wainraich Natalie Pérez Santiago Korovsky Lucas Wainraich,"casi feliz comedy sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids. sebastián wainraich natalie pérez santiago korovsky lucas wainraich"
Flinch,(2019– ),game-show,4.3,"Faced with various frightening and uncomfortable events, contestants in this game show had better not flinch - or they'll suffer painful consequences.","Stars: Seann Walsh, Lloyd Griffith, Desiree Burch, John McGinn",662,25,0.0,2019,,Seann Walsh Lloyd Griffith Desiree Burch John McGinn,"flinch game-show faced with various frightening and uncomfortable events, contestants in this game show had better not flinch - or they'll suffer painful consequences. seann walsh lloyd griffith desiree burch john mcginn"
The Sleeping City,(1950),crime drama film-noir,6.8,"In New York, the murder of a Bellvue Hospital intern prompts the police to send an undercover detective to investigate.","Director: George Sherman | Stars: Richard Conte, Coleen Gray, Richard Taber, John Alexander",496,86,0.0,1950,George Sherman,Richard Conte Coleen Gray Richard Taber John Alexander,"the sleeping city crime drama film-noir in new york, the murder of a bellvue hospital intern prompts the police to send an undercover detective to investigate. george sherman richard conte coleen gray richard taber john alexander"
Kane Chonicles,(2021),adventure fantasy,0.0,This is the adaptation of the New York Times best seller by Rick Riordan.,,0,0,0.0,2021,,,kane chonicles adventure fantasy this is the adaptation of the new york times best seller by rick riordan.
Sky Tour: The Movie,(2020),documentary music,8.7,"From the preparations to the performances, this documentary showcases Vietnamese pop idol Son Tung M-TP and the passion behind his Sky Tour concerts.",Director: Son Tung Mtp | Star: Son Tung Mtp,996,94,0.0,2020,Son Tung Mtp,Son Tung Mtp,"sky tour: the movie documentary music from the preparations to the performances, this documentary showcases vietnamese pop idol son tung m-tp and the passion behind his sky tour concerts. son tung mtp son tung mtp"
Untold: Breaking Point,(2021),documentary sport,0.0,,"Directors: Chapman Way, Maclain Way | Star: Mardy Fish",0,68,0.0,2021,"Chapman Way, Maclain Way",Mardy Fish,"untold: breaking point documentary sport chapman way, maclain way mardy fish"
Soltera Codiciada,(2018),comedy,6.2,"A heartbroken ad copywriter living in Lima, Peru, is inspired to write a blog about life as a single woman and is surprised by her website's success.","Directors: Bruno Ascenzo, Joanna Lombardi | Stars: Gisela Ponce de León, Karina Jordán, Christopher Von Uckermann, Jely Reategui",1864,104,0.0,2018,"Bruno Ascenzo, Joanna Lombardi",Gisela Ponce de León Karina Jordán Christopher Von Uckermann Jely Reategui,"soltera codiciada comedy a heartbroken ad copywriter living in lima, peru, is inspired to write a blog about life as a single woman and is surprised by her website's success. bruno ascenzo, joanna lombardi gisela ponce de león karina jordán christopher von uckermann jely reategui"
People You May Know,(II) (2016),comedy drama,5.6,"'People You May Know' tells the story of four friends in their 40s in Los Angeles. They will have to confront a new reality when Delia gets pregnant from Joe, the best-friend who happens to be gay.","Director: J.C. Falcón | Stars: Sean Maher, Andrea Grano, Mark Cirillo, Nacho San José",931,101,0.0,2016,J.C. Falcón,Sean Maher Andrea Grano Mark Cirillo Nacho San José,"people you may know comedy drama 'people you may know' tells the story of four friends in their 40s in los angeles. they will have to confront a new reality when delia gets pregnant from joe, the best-friend who happens to be gay. j.c. falcón sean maher andrea grano mark cirillo nacho san josé"
Krishna Balram,,fantasy,0.0,"Follow through the thrilling capers and chilling escapades of Krishna and Balram, with Radha, and friends in this all new, action packed, adrenaline churning series.",,0,0,0.0,0,,,"krishna balram fantasy follow through the thrilling capers and chilling escapades of krishna and balram, with radha, and friends in this all new, action packed, adrenaline churning series."
Thithi,(2015),drama,8.2,"In a South Indian village, a centenarian's funeral brings together his free-spirited son, inheritance-hungry grandson and girl-crazy great-grandson.","Director: Raam Reddy | Stars: Thammegowda S., Channegowda, Abhishek H.N., Pooja S.M.",2576,123,0.0,2015,Raam Reddy,Thammegowda S. Channegowda Abhishek H.N. Pooja S.M.,"thithi drama in a south indian village, a centenarian's funeral brings together his free-spirited son, inheritance-hungry grandson and girl-crazy great-grandson. raam reddy thammegowda s. channegowda abhishek h.n. pooja s.m."
First and Last,(2018– ),documentary,6.7,Cameras enter Georgia's Gwinnett County Jail to document the first days of its newest inmates and the final days of those about to be released.,"Stars: Shantee G., Alex R., Velma S.",370,40,0.0,2018,,Shantee G. Alex R. Velma S.,first and last documentary cameras enter georgia's gwinnett county jail to document the first days of its newest inmates and the final days of those about to be released. shantee g. alex r. velma s.
Doris,(I) (2018),comedy,6.1,"Recently divorced, Doris, in her forties, lives in Amsterdam with her two teen-agers. Ever since her ex-husband has remade his life, she has been dreaming of Tim, her lifelong best friend. ... See full summary »","Director: Albert Jan van Rees | Stars: Tjitske Reidinga, Guy Clemens, Hendrikje Nieuwerf, Tarik Moree",538,89,0.0,2018,Albert Jan van Rees,Tjitske Reidinga Guy Clemens Hendrikje Nieuwerf Tarik Moree,"doris comedy recently divorced, doris, in her forties, lives in amsterdam with her two teen-agers. ever since her ex-husband has remade his life, she has been dreaming of tim, her lifelong best friend. ... see full summary » albert jan van rees tjitske reidinga guy clemens hendrikje nieuwerf tarik moree"
Black Site Delta,(2017),action,3.8,"A group of military prisoners must fight off a terrorist attack on their prison which, unbeknownst to them, is a cover for a secret drone control facility.","Director: Jesse Gustafson | Stars: Cam Gigandet, Teri Reeves, Benjamin Charles Watson, Sherri Eakin",995,87,0.0,2017,Jesse Gustafson,Cam Gigandet Teri Reeves Benjamin Charles Watson Sherri Eakin,"black site delta action a group of military prisoners must fight off a terrorist attack on their prison which, unbeknownst to them, is a cover for a secret drone control facility. jesse gustafson cam gigandet teri reeves benjamin charles watson sherri eakin"
Johan Falk: De 107 patrioterna,(2012 Video),action crime thriller,6.5,"A firefight between two rival gangs breaks out in a Gothenburg city park, and when the conflict escalates the GSI group is called into it. A new gang is about to make its way in the Swedish... See full summary »","Director: Anders Nilsson | Stars: Jakob Eklund, Joel Kinnaman, Jens Hultén, Anastasios Soulis",2139,92,0.0,2012,Anders Nilsson,Jakob Eklund Joel Kinnaman Jens Hultén Anastasios Soulis,"johan falk: de 107 patrioterna action crime thriller a firefight between two rival gangs breaks out in a gothenburg city park, and when the conflict escalates the gsi group is called into it. a new gang is about to make its way in the swedish... see full summary » anders nilsson jakob eklund joel kinnaman jens hultén anastasios soulis"
The Wedding Coach,(2021– ),comedy reality-tv,4.9,Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.,"Stars: Jamie Lee, Fortune Feimster, Jon Gabrus",60,0,0.0,2021,,Jamie Lee Fortune Feimster Jon Gabrus,the wedding coach comedy reality-tv former bride and forever comedian jamie lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds. jamie lee fortune feimster jon gabrus
