MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Nicky Jam: El Ganador,(2018– ),biography music,7.8,"A look at the life and career of the Latin music superstar, Nicky Jam.","Stars: Nicky Jam, Jose Caro, Darkiel, Avery Rodríguez",1030,45,0.0,2018,,Nicky Jam Jose Caro Darkiel Avery Rodríguez,"nicky jam: el ganador biography music a look at the life and career of the latin music superstar, nicky jam. nicky jam jose caro darkiel avery rodríguez"
Crímenes de familia,(2020),crime drama thriller,6.6,"Desperate and confused, Alicia will do the impossible to keep her son from prison after he's convicted of trying to murder his ex-wife.","Director: Sebastián Schindel | Stars: Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione",3486,99,0.0,2020,Sebastián Schindel,Cecilia Roth Miguel Ángel Solá Benjamín Amadeo Sofía Gala Castiglione,"crímenes de familia crime drama thriller desperate and confused, alicia will do the impossible to keep her son from prison after he's convicted of trying to murder his ex-wife. sebastián schindel cecilia roth miguel ángel solá benjamín amadeo sofía gala castiglione"
Gakusen toshi asterisk,(2015– ),animation action comedy,6.9,"The Academy City on the water, Rikka (also known as Asterisk) is the world's largest stage for the integrated battle entertainment, ""Star Wars Festival."" The young boys and girls of the ""... See full summary »","Stars: Atsushi Tamaru, Ai Kakuma, Kira Buckland, Erik Scott Kimerer",1696,23,0.0,2015,,Atsushi Tamaru Ai Kakuma Kira Buckland Erik Scott Kimerer,"gakusen toshi asterisk animation action comedy the academy city on the water, rikka (also known as asterisk) is the world's largest stage for the integrated battle entertainment, ""star wars festival."" the young boys and girls of the ""... see full summary » atsushi tamaru ai kakuma kira buckland erik scott kimerer"
My Perfect Romance,(2018 TV Movie),romance,4.7,"Newly appointed CEO of Robinson Tech, Wes Robinson, is looking for new ideas to boost the company's sales. Vivian Blair, a program developer, shares a dating algorithm she has been working ... See full summary »","Director: Justin G. Dyck | Stars: Lauren Holly, Morgan Fairchild, Jodie Sweetin, Christopher Russell",2737,91,0.0,2018,Justin G. Dyck,Lauren Holly Morgan Fairchild Jodie Sweetin Christopher Russell,"my perfect romance romance newly appointed ceo of robinson tech, wes robinson, is looking for new ideas to boost the company's sales. vivian blair, a program developer, shares a dating algorithm she has been working ... see full summary » justin g. dyck lauren holly morgan fairchild jodie sweetin christopher russell"
La víctima número 8,(2018),action adventure crime,7.0,"An attack of a yihadist nature in the Old Town of Bilbao ends up with the lives of seven people and leaves malwounds to more than one thirteenth, many of them gravity. Victims and ... See full summary »","Stars: César Mateo, María de Nati, Verónika Moral, Iñaki Ardanaz",1760,53,0.0,2018,,César Mateo María de Nati Verónika Moral Iñaki Ardanaz,"la víctima número 8 action adventure crime an attack of a yihadist nature in the old town of bilbao ends up with the lives of seven people and leaves malwounds to more than one thirteenth, many of them gravity. victims and ... see full summary » césar mateo maría de nati verónika moral iñaki ardanaz"
Born to Be Blue,(2015),biography drama music,6.9,A re-imagining of jazz legend Chet Baker's musical comeback in the late '60s.,"Director: Robert Budreau | Stars: Ethan Hawke, Carmen Ejogo, Callum Keith Rennie, Tony Nappo",8304,97,830000.0,2015,Robert Budreau,Ethan Hawke Carmen Ejogo Callum Keith Rennie Tony Nappo,born to be blue biography drama music a re-imagining of jazz legend chet baker's musical comeback in the late '60s. robert budreau ethan hawke carmen ejogo callum keith rennie tony nappo
"Go, Dog. Go!",(2021– ),animation,7.4,"Young pup Tag Barker and her adventures in Pawston, a colorful community of dogs on the go.","Stars: Michela Luci, Callum Shoniker, Lyon Smith, Linda Ballantyne",126,0,0.0,2021,,Michela Luci Callum Shoniker Lyon Smith Linda Ballantyne,"go, dog. go! animation young pup tag barker and her adventures in pawston, a colorful community of dogs on the go. michela luci callum shoniker lyon smith linda ballantyne"
Thus Spoke Kishibe Rohan,(2017–2021),animation action adventure,7.7,A popular manga creator becomes enmeshed in paranormal events while conducting research.,"Stars: Landon McDonald, Bob Carter, Brittany Cox, Skyler Davenport",673,97,0.0,2017,,Landon McDonald Bob Carter Brittany Cox Skyler Davenport,thus spoke kishibe rohan animation action adventure a popular manga creator becomes enmeshed in paranormal events while conducting research. landon mcdonald bob carter brittany cox skyler davenport
The Pentaverate,(2022– ),comedy,0.0,An unlikely Canadian journalist finds himself embroiled in a mission to uncover the truth and just possibly save the world himself.,"Stars: Mark Denham, Tony McCarthy, Daniel Booroff, Nicklas Kingo",0,0,0.0,2022,,Mark Denham Tony McCarthy Daniel Booroff Nicklas Kingo,the pentaverate comedy an unlikely canadian journalist finds himself embroiled in a mission to uncover the truth and just possibly save the world himself. mark denham tony mccarthy daniel booroff nicklas kingo
Life Itself,(2014),documentary biography,7.8,"The life and career of the renowned film critic and social commentator, Roger Ebert.","Director: Steve James | Stars: Roger Ebert, Chaz Ebert, Gene Siskel, Martin Scorsese",15182,121,810000.0,2014,Steve James,Roger Ebert Chaz Ebert Gene Siskel Martin Scorsese,"life itself documentary biography the life and career of the renowned film critic and social commentator, roger ebert. steve james roger ebert chaz ebert gene siskel martin scorsese"
